chr	start	end	Distance.to.TSS	Gene.Name	strand	6OHDA_Tag	Sham_Tag	6OHDA_NDST3_Tag	Fold.Sham	Fold.6OHDA_NDST3
chr14	31808066	31808299	497	Oxnad1	+	22.35	30.20	31.79	-1.35	1.42
chr14	31881826	31882032	85	Ncoa4	+	19.90	16.58	22.39	1.2	1.12
chr14	33169141	33169241	-76	Mapk8	+	6.95	5.04	7.94	1.38	1.14
chr14	34033092	34033304	514	Glud1	+	43.20	34.46	46.40	1.25	-1.07
chr14	34033318	34033418	684	Glud1	+	37.80	25.62	40.91	1.47	-1.08
chr14	34224896	34224996	-443	Bmpr1a	+	23.60	25.52	35.40	-1.08	-1.5
chr14	34225370	34225470	-917	Bmpr1a	+	18.40	10.28	19.42	1.79	-1.06
chr14	34395401	34395501	-434	Wapl	+	26.30	13.95	38.53	1.89	-1.47
chr14	34395570	34395748	-226	Wapl	+	27.55	19.46	52.93	1.42	-1.92
chr14	36641348	36641448	94	Ccser2	+	28.85	13.11	30.91	2.2	-1.07
chr14	36690781	36690932	-135	Ccser2	+	7.95	17.11	21.37	-2.15	2.68
chr14	36856883	36857157	76	Ghitm	+	33.80	35.71	45.63	-1.06	1.35
chr14	36857328	36857428	-99	Ghitm	+	2.00	8.00	2.00	-4.05	-1
chr14	40671064	40671164	-948	Tspan14	+	14.40	19.64	30.79	-1.36	2.14
chr14	40735662	40735775	43	Prxl2a	+	30.80	44.07	31.81	-1.43	-1.03
chr14	40735970	40736070	-230	Prxl2a	+	40.70	26.80	41.81	1.52	-1.03
chr14	40736186	40736286	-446	Prxl2a	+	30.35	18.09	35.82	1.68	1.18
chr14	40794506	40794606	-312	Dydc1	+	6.95	13.09	13.90	-1.88	2
chr14	40794849	40794949	31	Dydc1	+	9.45	17.09	11.44	-1.81	1.21
chr14	40795128	40795228	-184	Dydc2	+	11.90	11.68	26.18	1.02	-2.2
chr14	40986394	40986494	-183	Gm2832	+	0.50	0.50	0.50	-1.01	-1
chr14	45456194	45456294	638	Txndc16	+	11.45	14.06	14.93	-1.23	1.3
chr14	45556594	45556694	-615	Ero1a	+	9.45	11.56	17.91	-1.22	1.89
chr14	45567199	45567299	-32	Psmc6	+	7.95	4.53	9.94	1.76	1.25
chr14	45626278	45626433	-102	Gnpnat1	+	10.95	12.06	11.45	-1.1	1.04
chr14	45626629	45626831	-477	Gnpnat1	+	62.25	37.97	94.19	1.64	-1.51
chr14	45767663	45767763	-191	Fermt2	+	10.90	4.05	23.36	2.7	-2.15
chr14	45895783	45895883	-233	Ddhd1	+	38.50	30.15	45.55	1.28	-1.18
chr14	45895961	45896061	-411	Ddhd1	+	33.80	30.18	33.80	1.12	-1
chr14	47025873	47025973	-109	Cnih1	+	8.95	9.55	11.93	-1.07	1.33
chr14	47026005	47026105	-241	Cnih1	+	11.95	19.08	15.93	-1.6	1.33
chr14	47059578	47059678	71	Gmfb	+	21.35	6.52	34.29	3.28	-1.61
chr14	47069569	47069669	28	Cgrrf1	+	10.90	9.42	17.31	1.16	-1.59
chr14	47119852	47119952	-520	Samd4	+	17.15	10.06	28.36	1.7	-1.66
chr14	47514226	47514477	-26	Socs4	+	29.80	24.91	32.94	1.2	-1.11
chr14	47514676	47514794	358	Socs4	+	22.10	17.52	23.64	1.26	-1.07
chr14	47535558	47535658	-123	Mapk1ip1l	+	11.45	17.58	22.90	-1.54	2
chr14	47535661	47535761	-20	Mapk1ip1l	+	5.45	13.12	8.92	-2.39	1.63
chr14	47656110	47656210	-296	Dlgap5	+	9.65	4.39	27.99	2.21	-2.9
chr14	47656234	47656334	-420	Dlgap5	+	7.90	2.38	42.66	3.34	-5.41
chr14	47805846	47805946	-5	Atg14	+	4.45	6.57	6.92	-1.46	1.55
chr14	47886129	47886229	-589	Ktn1	+	13.40	8.06	16.38	1.67	1.22
chr14	47886354	47886454	-364	Ktn1	+	12.45	4.52	12.45	2.75	-1
chr14	48683796	48683920	49	Tmem260	+	22.85	8.37	23.87	2.73	-1.05
chr14	49303300	49303400	-656	Ap5m1	+	10.20	10.71	14.40	-1.05	-1.41
chr14	49303768	49303927	-159	Ap5m1	+	15.40	15.16	26.11	1.01	-1.7
chr14	49304258	49304358	-184	Exoc5	+	16.90	21.45	22.73	-1.27	-1.35
chr14	49409645	49409757	-2	Naa30	+	12.45	6.53	24.40	1.9	1.96
chr14	49763195	49763295	49	Slc35f4	+	12.95	17.07	15.44	-1.32	1.19
chr14	50020841	50020941	-51	Armh4	+	16.40	11.71	17.43	1.4	-1.06
chr14	51045192	51045378	-57	Rpph1	+	8.95	9.55	9.94	-1.07	1.11
chr14	51107944	51108055	12	Tep1	+	13.90	26.69	29.79	-1.91	2.14
chr14	51108361	51108529	-434	Tep1	+	29.85	23.62	30.35	1.26	1.02
chr14	51161529	51161629	771	Osgep	+	17.40	8.79	23.20	1.98	-1.34
chr14	51161705	51161805	595	Osgep	+	21.65	9.93	22.15	2.18	-1.02
chr14	51162026	51162194	240	Osgep	+	22.10	26.49	34.10	-1.2	-1.54
chr14	51168788	51168888	-532	Pip4p1	+	10.95	10.55	22.40	1.04	2.04
chr14	51169001	51169137	-763	Pip4p1	+	17.15	16.89	23.66	1.01	-1.38
chr14	51327526	51327626	-958	Ang	+	21.90	35.16	23.39	-1.61	1.07
chr14	51361196	51361296	-119	Rnase6	+	32.80	20.12	38.66	1.63	1.18
chr14	51361402	51361502	87	Rnase6	+	21.90	16.58	24.89	1.32	1.13
chr14	52121343	52121443	-906	Mettl17	+	9.15	1.79	47.28	5.11	-5.17
chr14	52150391	52150491	280	Ndrg2	+	35.00	30.78	51.58	1.14	-1.48
chr14	52150544	52150733	83	Ndrg2	+	48.90	37.84	52.61	1.29	-1.08
chr14	52150737	52150837	-1	Ndrg2	+	40.20	30.65	40.30	1.31	-1
chr14	52150892	52150992	3	Ndrg2	+	29.30	24.64	35.93	1.19	-1.23
chr14	52151645	52151745	-234	Ndrg2	+	27.85	26.72	32.13	1.04	-1.16
chr14	52221293	52221393	-947	Arhgef40	+	8.95	13.07	19.89	-1.46	2.22
chr14	52221906	52222006	-334	Arhgef40	+	33.30	16.60	33.30	2.01	-1
chr14	52222279	52222379	39	Arhgef40	+	29.35	27.18	30.36	1.08	-1.04
chr14	52257206	52257306	-86	Zfp219	+	11.70	7.87	12.21	1.48	-1.04
chr14	52257329	52257429	-209	Zfp219	+	25.35	18.11	30.32	1.4	1.19
chr14	52342066	52342183	-646	Hnrnpc	+	42.50	31.32	54.40	1.36	-1.28
chr14	52342184	52342284	-756	Hnrnpc	+	18.15	23.98	20.82	-1.32	-1.15
chr14	52434662	52434795	-32	Supt16	+	22.85	33.72	27.32	-1.47	1.19
chr14	52434809	52434909	-163	Supt16	+	22.35	31.71	27.81	-1.42	1.24
chr14	52434921	52435093	-311	Supt16	+	27.35	31.67	31.83	-1.16	1.16
chr14	52495131	52495231	36	Chd8	+	18.90	10.56	20.89	1.79	1.1
chr14	52495426	52495526	-259	Chd8	+	12.95	19.07	13.45	-1.48	1.04
chr14	52495697	52495797	-530	Chd8	+	24.35	21.49	31.15	1.13	-1.28
chr14	52516314	52516414	-239	Tox4	+	17.40	8.05	17.40	2.16	-1
chr14	52516556	52516666	8	Tox4	+	28.05	10.69	43.99	2.62	-1.57
chr14	52516874	52516974	-72	Rab2b	+	0.50	5.50	3.50	-11.13	6.99
chr14	52542499	52542599	32	Mettl3	+	10.70	17.00	16.36	-1.59	-1.53
chr14	52542990	52543090	-459	Mettl3	+	2.50	8.00	7.00	-3.24	2.8
chr14	54491537	54491637	1	Abhd4	+	3.70	3.40	7.40	1.1	-2
chr14	54663899	54663999	-417	Mrpl52	+	14.15	16.50	30.66	-1.17	-2.17
chr14	54664026	54664126	-290	Mrpl52	+	20.90	27.13	21.90	-1.3	1.05
chr14	54664187	54664287	-129	Mrpl52	+	10.95	12.06	16.92	-1.1	1.54
chr14	54701438	54701538	-116	Lrp10	+	16.40	19.05	25.23	-1.16	-1.54
chr14	54713124	54713224	-383	Rem2	+	13.15	10.49	21.70	1.25	-1.65
chr14	54791713	54791813	55	Haus4	+	13.40	9.37	15.54	1.43	-1.16
chr14	54815310	54815410	-242	Ajuba	+	7.45	5.03	16.39	1.48	2.2
chr14	54855417	54855517	-15	Psmb5	+	4.45	9.10	14.34	-2.02	3.22
chr14	54855522	54855723	-170	Psmb5	+	22.35	26.18	35.26	-1.17	1.58
chr14	54855737	54855837	-335	Psmb5	+	16.90	20.12	19.39	-1.19	1.15
chr14	54862261	54862382	-446	Psmb11	+	25.10	9.56	38.28	2.62	-1.53
chr14	54862409	54862538	-294	Psmb11	+	14.90	5.94	18.21	2.51	-1.22
chr14	54878717	54878817	54	Cdh24	+	7.70	13.61	14.00	-1.77	-1.82
chr14	54891070	54891210	2	Acin1	+	30.80	19.81	31.81	1.56	-1.03
chr14	54923481	54923581	-97	1700123O20Rik	+	14.40	8.56	14.90	1.69	1.03
chr14	54923664	54923764	86	1700123O20Rik	+	28.05	16.70	42.39	1.68	-1.51
chr14	55101525	55101625	40	Homez	+	17.15	6.93	23.66	2.47	-1.38
chr14	55114913	55115013	32	Ppp1r3e	+	8.95	15.59	19.89	-1.74	2.22
chr14	55120811	55120967	7	Bcl2l2	+	9.45	11.91	16.20	-1.26	-1.72
chr14	55150718	55150818	-179	Slc22a17	+	23.35	19.63	23.85	1.19	1.02
chr14	55164207	55164307	-12	Efs	+	18.40	22.62	23.87	-1.23	1.3
chr14	55164328	55164470	-154	Efs	+	33.25	21.61	50.82	1.54	-1.53
chr14	55232799	55232899	-766	Myh7	+	17.10	7.62	45.00	2.25	-2.64
chr14	55251901	55252001	-960	Ngdn	+	13.40	12.09	20.35	1.11	1.52
chr14	55252033	55252198	-796	Ngdn	+	15.90	20.13	30.31	-1.26	1.9
chr14	55252593	55252693	-268	Ngdn	+	0.50	1.50	4.00	-3.03	7.99
chr14	55748020	55748120	168	Cpne6	+	13.90	21.13	16.04	-1.52	-1.16
chr14	55748776	55748876	9	Cpne6	+	13.90	4.69	25.02	2.97	-1.8
chr14	55777487	55777587	-186	Pck2	+	9.95	9.55	24.88	1.04	2.5
chr14	55797269	55797369	-167	Dcaf11	+	26.85	27.15	27.84	-1.01	1.04
chr14	55797380	55797623	15	Dcaf11	+	51.15	44.35	53.28	1.15	-1.04
chr14	55815653	55815875	-187	Psme1	+	32.50	22.34	52.65	1.46	-1.62
chr14	55815877	55815977	-24	Psme1	+	26.55	25.01	57.00	1.06	-2.15
chr14	55815991	55816091	90	Psme1	+	27.05	23.70	43.15	1.14	-1.6
chr14	55822515	55822709	99	Emc9	+	39.75	39.75	43.93	1	-1.11
chr14	55822848	55823001	-213	Emc9	+	14.15	14.80	16.87	-1.04	-1.19
chr14	55828475	55828670	-14	Psme2	+	14.90	26.18	24.83	-1.75	1.66
chr14	55828856	55828956	-293	Rnf31	+	19.90	9.31	20.92	2.13	-1.05
chr14	55841159	55841330	-198	Irf9	+	12.45	26.61	31.37	-2.14	2.52
chr14	55841548	55841648	156	Irf9	+	6.45	10.58	15.88	-1.63	2.46
chr14	55880765	55880910	-9	Tm9sf1	+	29.80	15.78	35.22	1.89	-1.18
chr14	55880997	55881097	216	Tm9sf1	+	18.40	14.58	18.90	1.26	1.03
chr14	55909130	55909230	157	Nedd8	+	12.90	20.75	16.27	-1.6	-1.26
chr14	55909598	55909698	-44	Gmpr2	+	5.20	0.81	8.45	6.43	-1.63
chr14	55959489	55959629	100	Rabggta	+	22.35	22.15	23.37	1.01	-1.05
chr14	55959736	55959836	-66	Rabggta	+	5.45	8.58	6.94	-1.56	1.27
chr14	56091364	56091464	-158	Nynrin	+	24.85	19.62	25.35	1.27	1.02
chr14	56091512	56091612	-10	Nynrin	+	32.05	30.08	36.86	1.07	-1.15
chr14	56122416	56122667	142	Khnyn	+	26.10	27.28	32.21	-1.05	-1.24
chr14	56137597	56137948	-83	Sdr39u1	+	39.75	41.76	44.62	-1.05	1.12
chr14	56138334	56138434	-695	Sdr39u1	+	20.85	13.51	30.66	1.54	-1.47
chr14	56813012	56813168	14	Parp4	+	18.40	10.62	24.15	1.73	-1.31
chr14	56905216	56905322	-436	Mphosph8	+	25.10	16.60	26.64	1.51	-1.06
chr14	56905323	56905423	-332	Mphosph8	+	26.85	21.12	34.81	1.27	1.29
chr14	57049666	57049766	270	2410022M11Rik	+	17.90	16.14	18.92	1.11	-1.06
chr14	57049927	57050115	575	2410022M11Rik	+	21.60	15.83	25.38	1.37	-1.18
chr14	57123252	57123352	-758	Zmym2	+	3.75	3.75	4.29	-1.01	-1.14
chr14	57123429	57123529	-581	Zmym2	+	5.45	14.63	11.89	-2.67	2.18
chr14	57636059	57636159	-169	Cryl1	+	4.95	6.10	11.55	-1.23	-2.34
chr14	57661037	57661185	-417	Ift88	+	23.10	23.90	23.60	-1.03	-1.02
chr14	57661397	57661584	-38	Ift88	+	26.35	22.75	37.13	1.16	-1.41
chr14	57809011	57809221	45	1700039M10Rik	+	11.20	15.72	11.71	-1.41	-1.05
chr14	57902714	57902910	-117	Xpo4	+	30.05	16.99	38.55	1.77	-1.28
chr14	57983661	57983859	-180	Lats2	+	14.90	19.65	18.21	-1.32	-1.22
chr14	57983934	57984083	-428	Lats2	+	19.40	26.13	27.36	-1.35	1.41
chr14	58035090	58035190	-506	Sap18	+	16.90	24.65	20.38	-1.46	1.2
chr14	58063948	58064057	306	Mrpl57	+	16.40	11.07	16.40	1.48	-1
chr14	58064107	58064324	519	Mrpl57	+	32.50	19.82	56.20	1.64	-1.73
chr14	58236129	58236229	540	Micu2	+	8.95	9.05	12.93	-1.01	1.44
chr14	58236683	58236783	-14	Micu2	+	8.45	6.29	10.70	1.34	-1.27
chr14	59678272	59678372	7	Setdb2	+	6.95	2.34	20.85	2.97	-3
chr14	59678394	59678494	32	Cab39l	+	4.95	12.63	6.44	-2.53	1.3
chr14	59715546	59715646	-804	Cab39l	+	16.15	7.00	18.84	2.31	-1.17
chr14	59716187	59716287	-163	Cab39l	+	16.10	12.33	36.23	1.31	-2.25
chr14	59716376	59716476	26	Cab39l	+	29.05	19.00	36.31	1.53	-1.25
chr14	59835398	59835530	-56	Cdadc1	+	9.95	19.63	12.16	-1.98	-1.22
chr14	59835749	59835849	-391	Cdadc1	+	11.95	9.04	18.42	1.32	1.54
chr14	60488992	60489092	-114	Nup58	+	6.20	8.54	7.89	-1.37	-1.27
chr14	60489300	60489400	-422	Nup58	+	25.85	16.09	29.33	1.61	1.13
chr14	60489718	60489818	-840	Nup58	+	11.45	17.07	12.94	-1.5	1.13
chr14	61021998	61022098	33	Mipep	+	13.90	7.55	19.86	1.85	1.43
chr14	61275356	61275456	30	Tnfrsf19	+	15.90	14.59	17.89	1.09	1.12
chr14	61275486	61275586	-100	Tnfrsf19	+	19.40	18.60	22.38	1.04	1.15
chr14	61375821	61375921	-35	Sacs	+	12.90	8.57	16.27	1.51	-1.26
chr14	61597826	61597926	18	Ebpl	+	8.45	18.61	14.91	-2.2	1.76
chr14	61598031	61598131	-187	Ebpl	+	12.45	15.06	27.39	-1.21	2.2
chr14	62530373	62530591	-54	Dleu7	+	42.70	35.98	46.98	1.19	-1.1
chr14	62530642	62530742	-264	Dleu7	+	25.05	18.46	56.56	1.36	-2.26
chr14	62997557	62997691	-326	4931440J10Rik	+	22.35	10.57	29.30	2.12	1.31
chr14	62999357	62999457	-846	Ints6	+	17.40	15.59	20.38	1.12	1.17
chr14	62999484	62999584	-973	Ints6	+	18.90	22.43	21.00	-1.19	-1.11
chr14	63415802	63416063	-596	Fdft1	+	61.65	41.23	68.51	1.5	1.11
chr14	63430944	63431055	-25	Neil2	+	11.95	24.60	18.42	-2.06	1.54
chr14	63431180	63431322	-277	Neil2	+	21.10	13.55	33.25	1.56	-1.58
chr14	63431340	63431440	-416	Neil2	+	18.40	12.69	22.86	1.45	-1.24
chr14	63781586	63781686	-234	Mtmr9	+	6.45	5.04	20.34	1.29	3.15
chr14	64097139	64097239	-572	Pinx1	+	8.20	13.18	8.71	-1.61	-1.06
chr14	65186629	65186729	627	Hmbox1	+	7.45	8.05	10.93	-1.08	1.46
chr14	65186947	65187047	309	Hmbox1	+	8.95	14.58	13.43	-1.63	1.5
chr14	65504017	65504152	17	Fbxo16	+	17.90	15.08	24.86	1.19	1.39
chr14	65830495	65830595	16	Elp3	+	3.00	1.50	9.00	1.98	3
chr14	66205781	66205933	-75	Clu	+	19.90	25.63	35.82	-1.29	1.8
chr14	66361756	66362023	82	Ephx2	+	33.75	37.55	49.70	-1.11	-1.47
chr14	66451203	66451303	20	Ptk2b	+	11.95	14.36	14.12	-1.21	-1.18
chr14	66535046	66535146	-518	1700001G11Rik	+	19.35	21.70	46.27	-1.12	-2.39
chr14	67953813	67954063	391	Kctd9	+	23.60	19.37	29.78	1.22	-1.26
chr14	69929607	69929707	-40	Mir6950	+	15.15	11.09	28.86	1.36	-1.91
chr14	69970155	69970255	-28	4930480K23Rik	+	3.50	1.00	11.00	3.46	3.14
chr14	69970634	69970734	401	4930480K23Rik	+	17.40	13.08	19.89	1.33	1.14
chr14	70313726	70313826	-990	Egr3	+	5.45	8.58	10.40	-1.56	1.91
chr14	70337279	70337385	-210	Bin3	+	20.60	20.42	25.61	1.01	-1.24
chr14	70396860	70396967	38	9930012K11Rik	+	19.65	21.73	22.31	-1.11	-1.14
chr14	70526897	70526997	-1	Ppp3cc	+	5.20	4.57	13.00	1.14	-2.5
chr14	70588913	70589013	-90	Slc39a14	+	15.15	5.58	17.86	2.72	-1.18
chr14	70680665	70680773	-52	Polr3d	+	16.15	16.72	25.84	-1.04	-1.6
chr14	70680882	70680982	-18	Mir320	+	14.40	20.64	16.39	-1.43	1.14
chr14	70681055	70681155	155	Mir320	+	25.35	16.93	30.86	1.5	-1.22
chr14	70681182	70681282	282	Mir320	+	20.60	14.78	28.25	1.4	-1.37
chr14	70694486	70694586	-421	Phyhip	+	21.15	9.70	22.70	2.18	-1.07
chr14	70694772	70694872	-135	Phyhip	+	18.10	17.14	30.84	1.06	-1.71
chr14	70694929	70695029	22	Phyhip	+	16.15	8.16	25.84	1.98	-1.6
chr14	70757609	70757733	29	Bmp1	+	15.40	7.79	21.32	1.98	-1.39
chr14	70837236	70837336	-11	Fhip2b	+	16.90	28.67	28.33	-1.7	1.67
chr14	70856103	70856303	-194	Dmtn	+	29.55	14.50	36.80	2.04	-1.25
chr14	70873435	70873535	3	Dmtn	+	17.40	13.58	24.86	1.28	1.43
chr14	71004657	71004768	-644	Xpo7	+	26.35	15.71	35.72	1.68	-1.36
chr14	71004771	71004871	-753	Xpo7	+	32.30	22.79	33.31	1.42	-1.03
chr14	72947441	72947541	-48	Fndc3a	+	13.65	10.16	22.10	1.34	-1.62
chr14	72947826	72947956	-448	Fndc3a	+	37.05	22.97	37.55	1.61	-1.01
chr14	73563746	73563925	-573	Rb1	+	26.80	22.52	51.43	1.19	-1.92
chr14	73789884	73789991	-289	Sucla2	+	45.75	39.21	56.09	1.17	1.23
chr14	73790080	73790237	-68	Sucla2	+	27.85	35.69	33.32	-1.28	1.19
chr14	74969720	74969820	33	Esd	+	10.45	15.07	15.43	-1.44	1.47
chr14	75185689	75185789	-422	Lrch1	+	16.85	16.33	35.23	1.03	-2.09
chr14	75367824	75367924	449	Lrrc63	+	17.65	15.65	24.12	1.13	-1.37
chr14	75521235	75521353	-512	Zc3h13	+	20.90	23.11	30.35	-1.11	1.45
chr14	75521390	75521664	-279	Zc3h13	+	29.85	23.62	36.32	1.26	1.22
chr14	75693071	75693171	-301	Siah3	+	20.40	26.34	22.49	-1.29	-1.1
chr14	75693304	75693404	-68	Siah3	+	9.45	11.06	24.87	-1.17	2.63
chr14	76024505	76024605	-78	Slc25a30	+	4.95	8.08	9.41	-1.62	1.9
chr14	76081888	76082095	413	Gm4285	+	38.75	24.97	54.25	1.55	-1.4
chr14	76082173	76082273	181	Gm4285	+	39.00	20.53	61.38	1.9	-1.58
chr14	76348168	76348268	37	Gpalpp1	+	3.00	3.50	4.00	-1.18	1.33
chr14	76794106	76794206	-29	Serp2	+	33.05	13.55	41.45	2.44	-1.26
chr14	76794270	76794370	36	Serp2	+	31.30	29.69	38.65	1.06	1.24
chr14	78112247	78112475	-4	Dnajc15	+	44.65	37.58	57.23	1.19	-1.28
chr14	78112530	78112630	-223	Dnajc15	+	37.75	30.93	46.63	1.22	-1.24
chr14	78774802	78774902	-552	Akap11	+	28.05	19.39	35.34	1.45	-1.26
chr14	78774977	78775099	-738	Akap11	+	24.85	22.13	26.84	1.12	1.08
chr14	78970672	78970772	-553	Dgkh	+	17.40	20.62	20.38	-1.18	1.17
chr14	78970792	78970892	-673	Dgkh	+	14.40	18.63	14.40	-1.29	-1
chr14	79086580	79086771	57	Vwa8	+	40.25	35.72	43.13	1.13	1.07
chr14	79627985	79628085	73	Naa16	+	23.60	13.38	26.22	1.77	-1.11
chr14	79635247	79635347	85	Mtrf1	+	25.10	8.61	31.24	2.91	-1.25
chr14	79688788	79688888	-437	Kbtbd6	+	8.45	10.06	18.89	-1.19	2.23
chr14	79824546	79824701	-477	Sugt1	+	17.40	18.76	29.45	-1.08	-1.69
chr14	79940351	79940451	41	4930452G13Rik	+	33.75	15.38	48.21	2.2	-1.43
chr14	86537378	86537478	-70	Gm32815	+	6.95	11.58	19.36	-1.66	2.78
chr14	87653696	87653796	-273	Tdrd3	+	30.80	12.62	45.58	2.44	-1.48
chr14	94128709	94128809	-644	Pcdh9	+	22.60	32.85	23.10	-1.45	-1.02
chr14	94128905	94129005	-840	Pcdh9	+	25.35	29.17	33.80	-1.15	1.33
chr14	96756394	96756595	-24	Klhl1	+	22.35	23.66	27.81	-1.06	1.24
chr14	96756776	96756876	-356	Klhl1	+	22.35	27.69	29.80	-1.24	1.33
chr14	96756942	96757042	-522	Klhl1	+	25.10	25.87	27.71	-1.03	-1.11
chr14	99283113	99283249	391	Mzt1	+	17.90	18.06	28.13	-1.01	-1.57
chr14	99283344	99283444	178	Mzt1	+	19.40	23.23	23.83	-1.2	-1.23
chr14	99337208	99337308	-52	Dis3	+	1.50	2.00	3.00	-1.35	2
chr14	99337770	99337870	-614	Dis3	+	8.20	9.07	14.35	-1.11	-1.75
chr14	101877875	101878033	-47	Commd6	+	27.85	30.67	35.31	-1.1	1.27
chr14	101891419	101891544	78	Uchl3	+	17.40	14.08	22.87	1.24	1.31
chr14	101967385	101967485	71	Lmo7	+	4.95	11.11	14.36	-2.23	2.9
chr14	102077543	102077643	-466	Lmo7	+	20.10	25.35	25.13	-1.26	-1.25
chr14	102077720	102077865	-267	Lmo7	+	19.35	10.39	32.69	1.86	-1.69
chr14	103306932	103307125	-624	Cln5	+	35.80	26.55	43.51	1.35	-1.22
chr14	103307300	103307410	-297	Cln5	+	21.40	36.17	26.38	-1.69	1.23
chr14	103307479	103307579	-123	Cln5	+	19.15	20.84	19.65	-1.09	-1.03
chr14	104759976	104760212	8	Obi1	+	21.85	23.48	27.45	-1.07	-1.26
chr14	104760303	104760494	-296	Obi1	+	25.35	30.82	34.78	-1.22	-1.37
chr14	105414776	105414964	-120	Rbm26	+	29.55	24.70	40.78	1.2	-1.38
chr14	105414981	105415161	-321	Rbm26	+	57.35	43.04	66.59	1.33	-1.16
chr14	105495975	105496075	-33	Ndfip2	+	15.40	18.12	17.39	-1.17	1.13
chr14	105663977	105664077	-966	5430440P10Rik	+	13.90	19.37	27.07	-1.39	-1.95
chr14	105664202	105664310	-737	5430440P10Rik	+	15.90	21.64	18.38	-1.36	1.15
chr14	105664539	105664639	-404	5430440P10Rik	+	16.15	14.12	21.34	1.14	-1.32
chr14	105664897	105665000	-45	5430440P10Rik	+	11.40	10.33	17.73	1.11	-1.56
chr14	105861502	105861602	-348	Mir6390	+	20.35	8.41	30.22	2.42	-1.49
chr14	111912862	111912962	363	Slitrk5	+	34.80	31.18	42.16	1.12	1.21
chr14	111913205	111913305	-204	Slitrk5	+	26.85	20.36	28.92	1.32	-1.08
chr14	115329430	115329530	-167	Gpc5	+	14.40	20.14	34.26	-1.4	2.38
chr14	118370111	118370308	-32	Tgds	+	10.45	6.03	10.95	1.73	1.05
chr14	118370436	118370536	-309	Tgds	+	21.40	20.09	24.39	1.06	1.14
chr14	119092145	119092245	-167	Cldn10	+	5.95	3.19	14.45	1.87	-2.43
chr14	119162488	119162665	306	Dzip1	+	34.30	32.19	42.15	1.07	1.23
chr14	119174945	119175045	-349	Dnajc3	+	13.90	23.17	13.90	-1.66	-1
chr14	119336766	119336908	9	Uggt2	+	18.65	17.93	23.74	1.04	-1.27
chr14	119337004	119337105	-208	Uggt2	+	29.30	17.70	38.49	1.66	-1.32
chr14	119337158	119337258	-362	Uggt2	+	17.40	19.33	23.20	-1.11	-1.34
chr14	119375491	119375591	-136	Hs6st3	+	11.45	4.52	13.44	2.53	1.17
chr14	121147967	121148067	-589	Ipo5	+	11.45	13.06	21.90	-1.14	1.91
chr14	121272055	121272155	-881	Farp1	+	22.35	17.62	30.79	1.27	1.38
chr14	121272383	121272483	-553	Farp1	+	15.40	25.16	19.87	-1.63	1.29
chr14	121617152	121617397	-632	Stk24	+	76.05	47.78	82.41	1.59	1.08
chr14	121617473	121617573	-881	Stk24	+	30.55	27.23	36.55	1.12	-1.2
chr14	122035214	122035314	-118	Dock9	+	14.40	9.06	17.88	1.59	1.24
chr14	122035324	122035427	-229	Dock9	+	11.95	6.53	12.95	1.83	1.08
chr14	122035429	122035529	-333	Dock9	+	14.15	8.13	15.72	1.74	-1.11
chr14	122115995	122116095	27	Ubac2	+	7.45	3.94	17.38	1.89	-2.34
chr14	122344762	122344862	318	Tm9sf2	+	10.45	13.06	13.93	-1.25	1.33
chr14	122771306	122771406	-384	Pcca	+	14.90	16.61	21.85	-1.11	1.46
chr14	123150833	123150933	-306	Ggact	+	11.45	17.07	23.90	-1.5	2.08
chr14	123220627	123220877	-57	Tmtc4	+	15.40	17.06	16.43	-1.11	-1.07
chr14	123221554	123221654	-909	Tmtc4	+	23.10	18.84	36.58	1.23	-1.59
chr14	123864416	123864536	80	Nalcn	+	59.60	42.64	70.56	1.4	-1.18
chr14	124430352	124430478	-457	Fgf14	+	12.45	25.60	13.45	-2.06	1.08
chr15	3611729	3611829	-455	Ghr	+	22.10	11.66	25.87	1.9	-1.17
chr15	4009086	4009186	-81	Fbxo4	+	32.30	19.66	48.45	1.64	-1.5
chr15	4025993	4026129	540	Gm2093	+	27.30	13.61	49.70	2.01	-1.82
chr15	4026156	4026256	685	Gm2093	+	19.85	13.55	26.86	1.47	-1.35
chr15	4055525	4055671	-312	Oxct1	+	42.70	43.17	48.09	-1.01	-1.12
chr15	4055705	4055805	-155	Oxct1	+	43.70	33.65	43.80	1.3	-1
chr15	4055940	4056040	80	Oxct1	+	37.25	30.97	47.41	1.2	-1.27
chr15	4056864	4056964	-26	Oxct1as	+	18.40	14.58	34.81	1.26	1.89
chr15	4056975	4057075	-137	Oxct1as	+	15.90	17.11	30.81	-1.07	1.93
chr15	4404849	4404949	-74	Plcxd3	+	20.85	23.88	25.24	-1.14	-1.21
chr15	4404997	4405097	74	Plcxd3	+	27.35	26.65	28.34	1.03	1.04
chr15	5145640	5145740	-405	Rpl37	+	36.50	24.93	47.34	1.47	-1.3
chr15	5145901	5146046	-122	Rpl37	+	8.95	6.28	15.83	1.42	-1.77
chr15	5146065	5146175	25	Rpl37	+	14.90	10.07	18.38	1.48	1.23
chr15	5173109	5173209	-184	Prkaa1	+	5.45	13.12	11.89	-2.39	2.18
chr15	5214914	5215065	18	Ttc33	+	19.40	12.06	29.85	1.61	1.54
chr15	6736968	6737068	-844	Rictor	+	22.35	15.09	25.54	1.48	-1.14
chr15	7158189	7158356	-781	Lifr	+	25.85	28.16	33.31	-1.09	1.29
